p_inf,num_tests,test_functions,i,cnt,tp,tn,fp,fn,tkn_max,tkn_mean,tkn_std
0.0001,10,"sensitivity=0.999,specificity=0.999",0,1,0,693,0,0,1,1,0.0
0.0001,10,"sensitivity=0.999,specificity=0.999",1,1,0,693,0,0,1,1,0.0
0.0001,10,"sensitivity=0.999,specificity=0.999",2,11,1,692,0,0,1,1,0.0
0.0001,10,"sensitivity=0.999,specificity=0.999",3,1,0,693,0,0,1,1,0.0
0.0001,10,"sensitivity=0.999,specificity=0.999",4,1,0,693,0,0,1,1,0.0
0.0001,10,"sensitivity=0.999,specificity=0.999",5,10,1,692,0,0,1,1,0.0
0.0001,10,"sensitivity=0.999,specificity=0.999",6,1,0,693,0,0,1,1,0.0
0.0001,10,"sensitivity=0.999,specificity=0.999",7,1,0,693,0,0,1,1,0.0
0.0001,10,"sensitivity=0.999,specificity=0.999",8,1,0,693,0,0,1,1,0.0
0.0001,10,"sensitivity=0.999,specificity=0.999",9,1,0,693,0,0,1,1,0.0
0.0001,10,"sensitivity=0.9991,specificity=0.9991",0,1,0,693,0,0,1,1,0.0
0.0001,10,"sensitivity=0.9991,specificity=0.9991",1,1,0,693,0,0,1,1,0.0
0.0001,10,"sensitivity=0.9991,specificity=0.9991",2,10,1,692,0,0,1,1,0.0
0.0001,10,"sensitivity=0.9991,specificity=0.9991",3,11,1,692,0,0,1,1,0.0
0.0001,10,"sensitivity=0.9991,specificity=0.9991",4,1,0,693,0,0,1,1,0.0
0.0001,10,"sensitivity=0.9991,specificity=0.9991",5,1,0,693,0,0,1,1,0.0
0.0001,10,"sensitivity=0.9991,specificity=0.9991",6,1,0,693,0,0,1,1,0.0
0.0001,10,"sensitivity=0.9991,specificity=0.9991",7,1,0,693,0,0,1,1,0.0
0.0001,10,"sensitivity=0.9991,specificity=0.9991",8,1,0,693,0,0,1,1,0.0
0.0001,10,"sensitivity=0.9991,specificity=0.9991",9,1,0,693,0,0,1,1,0.0
0.0001,10,"sensitivity=0.9992,specificity=0.9992",0,1,0,693,0,0,1,1,0.0
0.0001,10,"sensitivity=0.9992,specificity=0.9992",1,1,0,693,0,0,1,1,0.0
0.0001,10,"sensitivity=0.9992,specificity=0.9992",2,1,0,693,0,0,1,1,0.0
0.0001,10,"sensitivity=0.9992,specificity=0.9992",3,1,0,693,0,0,1,1,0.0
0.0001,10,"sensitivity=0.9992,specificity=0.9992",4,1,0,693,0,0,1,1,0.0
0.0001,10,"sensitivity=0.9992,specificity=0.9992",5,1,0,693,0,0,1,1,0.0
0.0001,10,"sensitivity=0.9992,specificity=0.9992",6,1,0,693,0,0,1,1,0.0
0.0001,10,"sensitivity=0.9992,specificity=0.9992",7,10,1,692,0,0,1,1,0.0
0.0001,10,"sensitivity=0.9992,specificity=0.9992",8,1,0,693,0,0,1,1,0.0
0.0001,10,"sensitivity=0.9992,specificity=0.9992",9,1,0,693,0,0,1,1,0.0
0.0001,10,"sensitivity=0.9993,specificity=0.9993",0,1,0,693,0,0,1,1,0.0
0.0001,10,"sensitivity=0.9993,specificity=0.9993",1,1,0,693,0,0,1,1,0.0
0.0001,10,"sensitivity=0.9993,specificity=0.9993",2,1,0,693,0,0,1,1,0.0
0.0001,10,"sensitivity=0.9993,specificity=0.9993",3,1,0,693,0,0,1,1,0.0
0.0001,10,"sensitivity=0.9993,specificity=0.9993",4,1,0,693,0,0,1,1,0.0
